RA,DEC,venn_code
272.2320873,-20.0994557,1
272.233871,-20.0986177,1
272.2334425,-20.0986177,1
272.2312504,-20.0991708,1
272.2343583,-20.0988064,1
272.2327325,-20.1002682,1
272.233775,-20.0987633,2
272.2331098527097,-20.1007463411813,3
272.2316653963327,-20.099061360459736,3
272.2314176,-20.0993346,4
272.2337203,-20.0987326,4
272.2338723,-20.0987669,4
272.2328021,-20.0981302,4
272.2338515,-20.098814,4
272.23365,-20.0987803,4
272.2313992,-20.1007419,4
272.2363607040274,-20.097291488164142,5
272.2337335,-20.0976121,5
272.233035,-20.101596,5
272.2328104,-20.0997357,5
272.2315683,-20.099814,5
272.2319509,-20.0998476,5
272.2325001,-20.1012268,5
272.2343213005124,-20.102940298965738,5
272.2303557307159,-20.10066447211445,5
272.2307874913939,-20.097298769128468,5
272.2315319,-20.0992115,7
272.2326185,-20.0988911,7
272.2310511,-20.0984776,7
272.2319661,-20.0996222,7
272.2329446,-20.1004261,7
272.2332267302926,-20.10206368234804,7
272.2308116829556,-20.10085784387114,7
272.2343738863951,-20.100077497388043,7
272.2352500643215,-20.099761292389267,7
272.2299935079348,-20.097943985538183,7
